Scenario,Name,Mean_Collapse,Std_Collapse,Never_Collapsed_Frac,Mean_Duty_Cycle,Std_Duty_Cycle,Mean_Cycles,Std_Cycles,Mean_Growth_Slope,Std_Growth_Slope
S1,Big Brother is Watching,205.84,124.06753967093891,0.0,0.622645,0.07784188445175258,9.755,1.9274270414207644,0.00020983739456666205,0.006073452124280033
S2,Wild West,383.215,148.49181383160487,0.0,0.6136849999999999,0.09367163805015903,5.84,1.3690872872099866,0.0014198382433950566,0.006710943210976715
S3,Golden Age,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,9.999999999998899e-05,0.0
S4,Living with the Land,240.625,17.212913030629068,0.0,0.38099000000000005,0.024875085929499823,6.6,0.6164414002968976,0.006000000000000005,0.0
S5,Transhumanism,810.59,299.29646155609663,0.635,0.99065,0.015226867701533376,0.45,0.6763874629234342,0.0002693601088941289,0.00043222885427576975
S6,Sword of Damocles,169.48,156.7922498084647,0.0,0.7853749999999999,0.06976348883907685,4.46,1.3705473359209452,-0.0021880945558311257,0.010801712611910382
S7,Restoration,223.32,78.41713843287066,0.0,0.572245,0.05457439853081296,7.47,1.0339729203417274,0.004506445455912568,0.007691478957297031
S8,Ouroboros,623.48,42.51622749021837,0.0,0.8748650000000001,0.02563467914759225,1.935,0.24652586071242102,0.0015000000000000568,0.0
S9,Deus Ex Machina,689.24,44.61751225696027,0.0,0.90987,0.026489490368823643,1.52,0.49959983987187184,0.001100000000000101,0.0
S10,Out of Eden,1000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.00019999999999997797,0.0
